tconst	directors	writers
tt0243069	nm0818465,nm0174068,nm0052059,nm0101385,nm0002413,nm0470971,nm0592813	nm0004810,nm0319213,nm0793062,nm0819487
tt0358323	nm1469191	nm0691583,nm0784818
tt0058823	nm0792605,nm0545273,nm0041932	nm0059142,nm0060378,nm0088624
tt3632248	nm0249189,nm1380082,nm2606060	nm0038486,nm0363024,nm0387090
tt0111161	nm0001104	nm0000175,nm0001104
tt0068646	nm0000338	nm0701374
tt0167260	nm0001392	nm0866058,nm0909638,nm0101991,nm0001392
tt0468569	nm0634240	nm0634300,nm0634240,nm0275286,nm0004170
tt0108052	nm0000229	nm0447745,nm0001873
tt0050083	nm0001486	nm0741627
tt0110912	nm0000233	nm0000233,nm0000812
tt1375666	nm0634240	nm0634240
tt8579674	nm0005222	nm0005222,nm4880670
tt8503618	nm2371802	nm0592135,nm2375857
tt6966692	nm0268380	nm0885014,nm0192942,nm0268380
tt5074352	nm4318159	nm6328029,nm6328031,nm6328030,nm8661566,nm4318159
tt5027774	nm1732981	nm1732981
tt4729430	nm0655053,nm3582089	nm0655053,nm2700235,nm2082813
tt3170832	nm1049433	nm1480980
tt3011894	nm1167933	nm1238855,nm1167933
tt2278388	nm0027572	nm0959003,nm0027572,nm2450453
tt2267998	nm0000399	nm5058839
tt2119532	nm0000154	nm0770938,nm0460795
tt2096673	nm0230032,nm0215455	nm0230032,nm0215455,nm0498834,nm2155757,nm1578335,nm2919995,nm0352778,nm0688132
tt2024544	nm2588606	nm0725983,nm1185849
tt1832382	nm1410815	nm1410815
tt1392214	nm0898288	nm3360706
tt1392190	nm0004306	nm0004306,nm0565068,nm0490147
tt1305806	nm0002728	nm3160078,nm0002728
tt1291584	nm0640334	nm0640334,nm3294574,nm0233561
tt1255953	nm0898288	nm0898288,nm1416431,nm4034068
tt1205489	nm0000142	nm1010405,nm3164738
tt1201607	nm0946734	nm0460141,nm0746830
tt1130884	nm0000217	nm0436164,nm1212331
tt10872600	nm1218281	nm0571344,nm1273099,nm0498278,nm0228492
tt1049413	nm0230032,nm0677037	nm0230032,nm0677037,nm0565336
tt10272386	nm1725469	nm0358960,nm1725469
tt0993846	nm0000217	nm1010540,nm0067789
tt0986264	nm0451148,nm1244760	nm1244760
tt0477348	nm0001053,nm0001054	nm0001054,nm0001053,nm0565092
tt0469494	nm0000759	nm0000759,nm0801737
tt0167261	nm0001392	nm0866058,nm0909638,nm0101991,nm0801728,nm0001392
tt0137523	nm0000399	nm0657333,nm0880243
tt0120737	nm0001392	nm0866058,nm0909638,nm0101991,nm0001392
tt0109830	nm0000709	nm0343165,nm0744839
tt0060196	nm0001466	nm0898812,nm0001466,nm0408488,nm0769249
tt0133093	nm0905154,nm0905152	nm0905152,nm0905154
tt0099685	nm0000217	nm0683380,nm0000217
tt0080684	nm0449984	nm0102824,nm0001410,nm0000184
tt0073486	nm0001232	nm0369142,nm0325743,nm0450181,nm0913670
tt0816692	nm0634240	nm0634300,nm0634240
tt0317248	nm0576987,nm0526199	nm0513130,nm1130251
tt0245429	nm0594503	nm0594503
tt0120815	nm0000229	nm0734441
tt0120689	nm0001104	nm0000175,nm0001104
tt0118799	nm0000905	nm0148437,nm0000905
tt0114369	nm0000399	nm0001825
tt0103064	nm0000116	nm0000116,nm0936537
tt0102926	nm0001129	nm0365383,nm0848217
tt0076759	nm0000184	nm0000184
tt0056058	nm0462030	nm0847668,nm0368074
tt0047478	nm0000041	nm0000041,nm0368074,nm0644823
tt0038650	nm0001008	nm0329304,nm0352443,nm0001008,nm0842485,nm0827821,nm0933858
tt6751668	nm0094435	nm0094435,nm8243301
tt2582802	nm3227090	nm3227090
tt1675434	nm0619923,nm0865918	nm0619923,nm4778840,nm0865918
tt0482571	nm0634240	nm0634300,nm0634240,nm1793993
tt0407887	nm0000217	nm1184258,nm0538320,nm0159039
tt0253474	nm0000591	nm0367838,nm0844262
tt0172495	nm0000631	nm0291905,nm0517589,nm0629933
tt0120586	nm0443411	nm0571346
tt0114814	nm0001741	nm0003160
tt0110413	nm0000108	nm0000108
tt0110357	nm0021249,nm0591450	nm0575293,nm0731271,nm0941314,nm0560329,nm0424556,nm0177170,nm0258059,nm0309128,nm0873779,nm0135296,nm0363125,nm0460146,nm0761498,nm0004552,nm0500858,nm0710020,nm0538588,nm0326814,nm0322368,nm0442483,nm0020599,nm0780117,nm0854185,nm0873092,nm0879318,nm0901038,nm0936374,nm0925276,nm0152312
tt0095765	nm0868153	nm0868153,nm0660031
tt0095327	nm0847223	nm0636435,nm0847223
tt0088763	nm0000709	nm0000709,nm0301826
tt0078788	nm0000338	nm0587518,nm0000338,nm0380282,nm0175676
tt0078748	nm0000631	nm0639321,nm0795953
tt0064116	nm0001466	nm0006872,nm0001466,nm0000783,nm0000934
