tconst	averageRating	numVotes
tt0111161	9.3	2661371
tt0068646	9.2	1844385
tt0468569	9.0	2634327
tt0167260	9.0	1835100
tt0108052	9.0	1347886
tt0071562	9.0	1263465
tt0050083	9.0	785869
tt0110912	8.9	2037092
tt1375666	8.8	2334323
tt0058823	8.0	104
tt0358323	8.4	2781
tt0243069	7.4	5418
tt3632248	6.8	1568
tt0635306	8.2	285
tt0635307	7.1	315
tt0635308	7.2	248
tt0635309	7.1	262
tt0635310	7.2	300
tt0635311	7.4	291
tt0635312	7.2	273
tt0635313	7.3	264
tt0635314	7.8	435
tt0635315	7.8	286
tt0635316	7.3	266
tt0635317	7.7	265
tt0635318	6.6	275
tt0635652	0.0	0
tt0635653	0.0	0
tt0635654	8.4	8
tt0635655	8.4	8
tt0635656	0.0	0
tt0635657	0.0	0
tt0635658	0.0	0
tt0635659	0.0	0
tt0635660	0.0	0
tt0635661	0.0	0
tt0635662	0.0	0
tt0635663	0.0	0
tt0635664	0.0	0
tt0635665	0.0	0
tt0635666	0.0	0
tt0635667	0.0	0
tt0635668	0.0	0
tt0635669	0.0	0
tt0635670	0.0	0
tt0635671	0.0	0
tt0635672	0.0	0
tt0635673	0.0	0
tt0635677	8.4	8
tt0635676	0.0	0
tt0635674	0.0	0
tt0635675	0.0	0
tt0635701	7.9	33
tt0635702	7.5	29
tt0635703	7.6	54
tt0635704	7.4	51
tt0635705	7.2	42
tt0635706	7.6	48
tt0635707	7.8	36
tt0635708	7.9	77
tt0635709	7.4	45
tt0635710	7.5	38
tt0635711	7.4	37
tt0635712	7.9	47
tt0635713	7.9	48
tt0635714	8.2	54
tt3651938	6.4	63
tt3651942	6.4	57
tt3651950	6.0	48
tt3651952	6.2	49
tt3651954	5.9	44
tt3651962	6.1	44
tt3651964	6.0	44
tt3651970	6.8	50
tt3651972	6.8	45
tt3651974	6.4	49
