"title_id","end_year","genres","is_adult","runtime_minutes","start_year","title","type","rating_id"
"tt0012349","1924","Comedy,Drama,Family","0","68","1921","The Kid","1","638"
"tt0015324","1926","Action,Comedy,Romance","0","45","1924","Sherlock Jr.","1","705"
"tt0015864","1929","Adventure,Comedy,Drama","0","95","1925","The Gold Rush","1","702"
"tt0017136","1930","Drama,Sci-Fi","0","153","1927","Metropolis","1","645"
"tt0017925","1927","Action,Adventure,Comedy","0","67","1926","The General","1","703"
"tt0021749","1932","Comedy,Drama,Romance","0","87","1931","City Lights","1","587"
"tt0022100","1932","Crime,Mystery,Thriller","0","117","1931","M","1","634"
"tt0027977","1939","Comedy,Drama,Romance","0","87","1936","Modern Times","1","586"
"tt0031381","1939","Drama,Romance,War","0","238","1939","Gone with the Wind","1","673"
"tt0031679","1940","Comedy,Drama","0","129","1939","Mr. Smith Goes to Washington","1","728"
"tt0032553","1940","Comedy,Drama,War","0","125","1940","The Great Dictator","1","617"
"tt0033467","1941","Drama,Mystery","0","119","1941","Citizen Kane","1","633"
"tt0034583","1944","Drama,Romance,War","0","102","1942","Casablanca","1","585"
"tt0036775","1947","Crime,Drama,Film-Noir","0","107","1944","Double Indemnity","1","647"
"tt0038650","1950","Drama,Family,Fantasy","0","130","1946","It's a Wonderful Life","1","565"
"tt0040522","1950","Drama","0","89","1948","Bicycle Thieves","1","649"
"tt0040897","1950","Adventure,Drama,Western","0","126","1948","The Treasure of the Sierra Madre","1","661"
"tt0041959","1949","Film-Noir,Mystery,Thriller","0","104","1949","The Third Man","1","718"
"tt0042192","1954","Drama","0","138","1950","All About Eve","1","691"
"tt0042876","1951","Crime,Drama,Mystery","0","88","1950","Rashomon","1","663"
"tt0043014","1953","Drama,Film-Noir","0","110","1950","Sunset Blvd.","1","616"
"tt0044741","1952","Drama","0","143","1952","Ikiru","1","648"
"tt0045152","1955","Comedy,Musical,Romance","0","103","1952","Singin' in the Rain","1","632"
"tt0046268","1955","Adventure,Drama,Thriller","0","131","1953","The Wages of Fear","1","704"
"tt0046912","1955","Crime,Thriller","0","105","1954","Dial M for Murder","1","676"
